Step,Selected_Feature,Cumulative_Feature_Set,Accuracy,Balanced_Accuracy,Sensitivity,Specificity,ROC_AUC
1,COUGHING,['COUGHING'],0.52,0.5201517306780465,0.5087719298245614,0.5315315315315315,0.5201517306780465
2,PEER_PRESSURE,"['COUGHING', 'PEER_PRESSURE']",0.5333333333333333,0.5302868658131816,0.7587719298245614,0.30180180180180183,0.5413505610874032
3,AGE,"['COUGHING', 'PEER_PRESSURE', 'AGE']",0.5355555555555556,0.5331318160265529,0.7149122807017544,0.35135135135135137,0.5437806227279912
4,YELLOW_FINGERS,"['COUGHING', 'PEER_PRESSURE', 'AGE', 'YELLOW_FINGERS']",0.5311111111111111,0.5292200094831674,0.6710526315789473,0.38738738738738737,0.5382586533902324
5,SHORTNESS_OF_BREATH,"['COUGHING', 'PEER_PRESSURE', 'AGE', 'YELLOW_FINGERS', 'SHORTNESS_OF_BREATH']",0.54,0.5381104788999526,0.6798245614035088,0.3963963963963964,0.5360064011379801
6,CHEST_PAIN,"['COUGHING', 'PEER_PRESSURE', 'AGE', 'YELLOW_FINGERS', 'SHORTNESS_OF_BREATH', 'CHEST_PAIN']",0.5244444444444445,0.5224039829302987,0.6754385964912281,0.36936936936936937,0.5348407618144461
